section,field,value
seller,name,Ashton Field Home
seller,address,"4, Beaudesert Road, Brisbane, Queensland, 5910, Australia"
seller,telephone,+61 2 9684 6159
seller,email,ashton13@news.example
order,order_number,INV-0544237I
order,order_datetime,O2/IO/2026 19;34
order,customer,Eiji O. Valladares
order,payment_method,PayPal
order,status,In Transit
line,itern_1_name,Delicate Garden Gloves Collection
line,item_1_qty,4
line,item_1_unit_price,A$217.12
line,item_1_total,AUD 868.48
totals,subtotal,868.48 AUD totals,tax,0.69 AUD
totals,total,869.17 AUD
delivery,provider,Gateway Express Network
delivery,shipped_date,2026-O2-12
delivery,address,"186, Albany Highway, Perth, Westem
Australia, 4128, Australia"
delivery,tracking,1Z2OLOUMCVFK3JGHTQ
