section,field,value
seller,name,Rivera and Phillips Kitchenware
seller,address,"920, Talbot Street, Level 34, Dublin, Leinster, W86 Z026, Ireland"
seller,telephone,+353 1 02O 0952
seller,email,rivera-and-phillips-kitchenware.team@receipts.example
order,order_number,WY2326KP9438
order,order_datetime,2026-06-11 18;01
order,customer,Mia T. Collins
order,payment_method,Apple Pay
order,status,Processing
line,item_1_name,8a0kpack
line,item_1_qty,1
line,item_1_unit_price,87.3 EUR
line,item_1_total,EUR 87.3
totals,subtotal,EUR87.3
totals,tax,EUR2.2
totals,total,EUR 11.8
delivery,address,"37, Parnell Street,
Dublin, Leinster, X58 E033, Ireland"
delivery,tracking,1OELSZGBZ3DDOYPMVO
