section,field,value
seller,name,Near Engineering Global seller,address,"70S, De Maisonneuve Boulevard, Montreal, Quebec, I2K 7G4, Canada"
seller,telephone,+1 487-293-1070
seller,email,"near-engineering-globalawarahouse,example.com"
order,order_number,INV-73945708
order,order_datetime,2026-10-01T13:22
order,customer,Movssa A. Wojcik
order,payment_method,Google Pay
order,status,Pickup Available
line,item_1_name,T-shirt
line,item_1_qty,4
line,item_1_unit_price,CAD 149.99
line,item_1_total,CAD 599.96
line,item_2_name,Broccoli
line,item_2_qty,6 line,item_2_unit_price,CAD 2.44
line,item_2_total,14.64 CAD
line,item_3_name,5ushi Roll
line,item_3_qty,6
line,item_3_unit_price,CA$19.87
line,item_3_total,1I9.22 CAD
line,item_4_name,Almond Milk
line,item_4_qty,7
line,item_4_unit_price,CAD 14.44
line,item_4_total,CAD 101.08
totals,subtotal,CAD 834.9
totals,tax,0.15 CAD
totals,total,41.9 CAD
