section,field,value
seller,name,Build Roasters Supply
seller,address,"580, Market Street, Manchester, England, WB93 8LK, United Kingdom"
seller,telephone,+44 20 3568 0574
seller,email,support@receipts.example
order,order_number,IOVI5722396
order,order_datetime,03/13/2026 13:51
order,customer,Patrik R. Dc Bruijn
order,payment_method,PayPal
order,status,Processing
line,item_1_name,Antivirus Subscription
line,item_1_qty,1
line,item_1_unit_price,GBP 111.39
line,item_1_total,111.39 GBP
totals,subtotal,GBP111.39
totals,tax,1 GBP
totals,total,GBP 112.39
